date,value
2019-01-05,44453.0
2019-01-12,41606.0
2019-01-19,42041.0
2019-01-26,44194.0
2019-02-02,48640.0
2019-02-09,54030.0
2019-02-16,53289.0
2019-02-23,54061.0
2019-03-02,53221.0
2019-03-09,53256.0
2019-03-16,53364.0
2019-03-23,48749.0
2019-03-30,42842.0
2019-04-06,36735.0
2019-04-13,31723.0
2019-04-20,27999.0
2019-04-27,24711.0
2019-05-04,20167.0
2019-05-11,17735.0
2019-05-18,16998.0
2019-05-25,15674.0
2019-06-01,14371.0
2019-06-08,12617.0
2019-06-15,11400.0
2019-06-22,10463.0
2019-06-29,9132.0
2019-07-06,8852.0
2019-07-13,9075.0
2019-07-20,8339.0
2019-07-27,7951.0
2019-08-03,7881.0
2019-08-10,8080.0
2019-08-17,8310.0
2019-08-24,8892.0
2019-08-31,10506.0
2019-09-07,11816.0
2019-09-14,13366.0
2019-09-21,15055.0
2019-09-28,17349.0
2019-10-05,19851.0
2019-10-12,22113.0
2019-10-19,23131.0
2019-10-26,24630.0
2019-11-02,25417.0
2019-11-09,28842.0
2019-11-16,31439.0
2019-11-23,36497.0
2019-11-30,35398.0
2019-12-07,41929.0
2019-12-14,44911.0
2019-12-21,54480.0
2019-12-28,64024.0
2020-01-04,65177.0
2020-01-11,60717.0
2020-01-18,60316.0
2020-01-25,64502.0
2020-02-01,72224.0
2020-02-08,71868.0
2020-02-15,69257.0
2020-02-22,65212.0
2020-02-29,62427.0
2020-03-07,64149.0
2020-03-14,74416.0
2020-03-21,73090.0
2020-03-28,44754.0
2020-04-04,30838.0
2020-04-11,19572.0
2020-04-18,14443.0
2020-04-25,12822.0
2020-05-02,10268.0
2020-05-09,8891.0
2020-05-16,7844.0
2020-05-23,7523.0
2020-05-30,6054.0
2020-06-06,6181.0
2020-06-13,5718.0
2020-06-20,5247.0
2020-06-27,5667.0
2020-07-04,6258.0
2020-07-11,6322.0
2020-07-18,6176.0
2020-07-25,6042.0
2020-08-01,6105.0
2020-08-08,6330.0
2020-08-15,6120.0
2020-08-22,6238.0
2020-08-29,6443.0
2020-09-05,6543.0
2020-09-12,7059.0
2020-09-19,8083.0
2020-09-26,9019.0
2020-10-03,12200.0
2020-10-10,14924.0
2020-10-17,15112.0
2020-10-24,16611.0
2020-10-31,20552.0
2020-11-07,27187.0
2020-11-14,34907.0
2020-11-21,38746.0
2020-11-28,35276.0
2020-12-05,42526.0
2020-12-12,41778.0
2020-12-19,40917.0
2020-12-26,36310.0
2021-01-02,40471.0
2021-01-09,44971.0
2021-01-16,41807.0
2021-01-23,39002.0
2021-01-30,36455.0
2021-02-06,36559.0
2021-02-13,34089.0
2021-02-20,32424.0
2021-02-27,34328.0
2021-03-06,34184.0
2021-03-13,34191.0
2021-03-20,34680.0
2021-03-27,35763.0
2021-04-03,31900.0
2021-04-10,31520.0
2021-04-17,30238.0
2021-04-24,30568.0
2021-05-01,31247.0
2021-05-08,30176.0
2021-05-15,29035.0
2021-05-22,28416.0
2021-05-29,24574.0
2021-06-05,23886.0
2021-06-12,25258.0
2021-06-19,24440.0
2021-06-26,22366.0
2021-07-03,22756.0
2021-07-10,25064.0
2021-07-17,26255.0
2021-07-24,27718.0
2021-07-31,30276.0
2021-08-07,28889.0
2021-08-14,35191.0
2021-08-21,33470.0
2021-08-28,40107.0
2021-09-04,41117.0
2021-09-11,36912.0
2021-09-18,43510.0
2021-09-25,40634.0
2021-10-02,44256.0
2021-10-09,49688.0
2021-10-16,46313.0
2021-10-23,48913.0
2021-10-30,51914.0
2021-11-06,57035.0
2021-11-13,63268.0
2021-11-20,72905.0
2021-11-27,71888.0
2021-12-04,85248.0
2021-12-11,97782.0
2021-12-18,108196.0
2021-12-25,126904.0
2022-01-01,147040.0
2022-01-08,150872.0
2022-01-15,129424.0
2022-01-22,106771.0
2022-01-29,87124.0
2022-02-05,68893.0
2022-02-12,64800.0
2022-02-19,62953.0
2022-02-26,61128.0
2022-03-05,61079.0
2022-03-12,62009.0
2022-03-19,62581.0
2022-03-26,66581.0
2022-04-02,66402.0
2022-04-09,70497.0
2022-04-16,69489.0
2022-04-23,71915.0
2022-04-30,76971.0
2022-05-07,79892.0
2022-05-14,84554.0
2022-05-21,84708.0
2022-05-28,82842.0
2022-06-04,78158.0
2022-06-11,75043.0
2022-06-18,69476.0
2022-06-25,66510.0
2022-07-02,64429.0
2022-07-09,63996.0
2022-07-16,61558.0
2022-07-23,62251.0
2022-07-30,57937.0
2022-08-06,54829.0
2022-08-13,52169.0
2022-08-20,53636.0
2022-08-27,57496.0
2022-09-03,59999.0
2022-09-10,59748.0
2022-09-17,62269.0
2022-09-24,67455.0
2022-10-01,66897.0
2022-10-08,78249.0
2022-10-15,88055.0
2022-10-22,95427.0
2022-10-29,112851.0
2022-11-05,133627.0
2022-11-12,144126.0
2022-11-19,157775.0
2022-11-26,157960.0
2022-12-03,191785.0
2022-12-10,182500.0
2022-12-17,172825.0
2022-12-24,151384.0
2022-12-31,138757.0
2023-01-07,121002.0
2023-01-14,109210.0
2023-01-21,106790.0
2023-01-28,99616.0
2023-02-04,97168.0
2023-02-11,100754.0
2023-02-18,95973.0
2023-02-25,92696.0
2023-03-04,90640.0
2023-03-11,86376.0
2023-03-18,84308.0
2023-03-25,82274.0
2023-04-01,76692.0
2023-04-08,72529.0
2023-04-15,61439.0
2023-04-22,56701.0
2023-04-29,53442.0
2023-05-06,52888.0
2023-05-13,54713.0
2023-05-20,47958.0
2023-05-27,44133.0
2023-06-03,42516.0
2023-06-10,39470.0
2023-06-17,35938.0
2023-06-24,32938.0
2023-07-01,30331.0
2023-07-08,30289.0
2023-07-15,30661.0
2023-07-22,30857.0
2023-07-29,31387.0
2023-08-05,32425.0
2023-08-12,36133.0
2023-08-19,40456.0
2023-08-26,47416.0
2023-09-02,53059.0
2023-09-09,55332.0
2023-09-16,58288.0
2023-09-23,61602.0
2023-09-30,61810.0
2023-10-07,64939.0
2023-10-14,65514.0
2023-10-21,66801.0
2023-10-28,69229.0
2023-11-04,77193.0
2023-11-11,92301.0
2023-11-18,100657.0
2023-11-25,95965.0
2023-12-02,118752.0
2023-12-09,126299.0
2023-12-16,138909.0
2023-12-23,155722.0
2023-12-30,153922.0
2024-01-06,137969.0
2024-01-13,130403.0
2024-01-20,116068.0
2024-01-27,120481.0
2024-02-03,123949.0
2024-02-10,124097.0
2024-02-17,120149.0
2024-02-24,118107.0
2024-03-02,109663.0
2024-03-09,103198.0
2024-03-16,97623.0
2024-03-23,90497.0
2024-03-30,86150.0
2024-04-06,81799.0
2024-04-13,77973.0
2024-04-20,71822.0
2024-04-27,70211.0
2024-05-04,60132.0
2024-05-11,54075.0
2024-05-18,52042.0
2024-05-25,50362.0
2024-06-01,45394.0
2024-06-08,43789.0
2024-06-15,41945.0
2024-06-22,39787.0
2024-06-29,37950.0
2024-07-06,38217.0
2024-07-13,41312.0
2024-07-20,41425.0
2024-07-27,44143.0
2024-08-03,45125.0
2024-08-10,46583.0
2024-08-17,50508.0
2024-08-24,53810.0
2024-08-31,59674.0
2024-09-07,59672.0
2024-09-14,62349.0
2024-09-21,63235.0
2024-09-28,57421.0
2024-10-05,66165.0
2024-10-12,69715.0
2024-10-19,72764.0
2024-10-26,75599.0
2024-11-02,75256.0
2024-11-09,76715.0
2024-11-16,81959.0
2024-11-23,86733.0
2024-11-30,83808.0
2024-12-07,98298.0
2024-12-14,106217.0
2024-12-21,123538.0
