date,value
2019-01-05,42135.0
2019-01-12,38815.0
2019-01-19,41199.0
2019-01-26,46241.0
2019-02-02,55264.0
2019-02-09,69732.0
2019-02-16,70056.0
2019-02-23,66461.0
2019-03-02,58802.0
2019-03-09,55431.0
2019-03-16,53177.0
2019-03-23,45668.0
2019-03-30,37948.0
2019-04-06,32941.0
2019-04-13,27854.0
2019-04-20,23147.0
2019-04-27,20610.0
2019-05-04,18864.0
2019-05-11,17107.0
2019-05-18,16459.0
2019-05-25,15763.0
2019-06-01,14776.0
2019-06-08,13451.0
2019-06-15,12106.0
2019-06-22,10695.0
2019-06-29,10027.0
2019-07-06,8722.0
2019-07-13,8425.0
2019-07-20,8116.0
2019-07-27,7787.0
2019-08-03,7884.0
2019-08-10,8060.0
2019-08-17,8994.0
2019-08-24,10103.0
2019-08-31,11904.0
2019-09-07,13188.0
2019-09-14,14843.0
2019-09-21,16001.0
2019-09-28,17453.0
2019-10-05,21916.0
2019-10-12,22954.0
2019-10-19,24886.0
2019-10-26,27419.0
2019-11-02,28910.0
2019-11-09,34586.0
2019-11-16,37732.0
2019-11-23,44161.0
2019-11-30,44044.0
2019-12-07,48904.0
2019-12-14,56444.0
2019-12-21,71594.0
2019-12-28,95757.0
2020-01-04,88731.0
2020-01-11,75614.0
2020-01-18,79783.0
2020-01-25,90150.0
2020-02-01,108307.0
2020-02-08,111361.0
2020-02-15,95418.0
2020-02-22,80559.0
2020-02-29,74823.0
2020-03-07,78779.0
2020-03-14,89607.0
2020-03-21,78584.0
2020-03-28,53142.0
2020-04-04,36251.0
2020-04-11,24974.0
2020-04-18,18274.0
2020-04-25,15164.0
2020-05-02,12821.0
2020-05-09,11058.0
2020-05-16,10480.0
2020-05-23,11416.0
2020-05-30,9605.0
2020-06-06,9318.0
2020-06-13,9572.0
2020-06-20,11866.0
2020-06-27,15490.0
2020-07-04,17826.0
2020-07-11,20043.0
2020-07-18,19250.0
2020-07-25,16523.0
2020-08-01,15514.0
2020-08-08,14103.0
2020-08-15,13131.0
2020-08-22,12900.0
2020-08-29,13138.0
2020-09-05,12232.0
2020-09-12,13001.0
2020-09-19,13005.0
2020-09-26,14457.0
2020-10-03,16570.0
2020-10-10,19194.0
2020-10-17,17281.0
2020-10-24,18187.0
2020-10-31,18612.0
2020-11-07,21410.0
2020-11-14,22623.0
2020-11-21,22722.0
2020-11-28,21320.0
2020-12-05,22305.0
2020-12-12,22219.0
2020-12-19,20886.0
2020-12-26,19852.0
2021-01-02,22436.0
2021-01-09,22720.0
2021-01-16,19194.0
2021-01-23,18353.0
2021-01-30,16910.0
2021-02-06,16101.0
2021-02-13,14108.0
2021-02-20,12602.0
2021-02-27,13347.0
2021-03-06,13017.0
2021-03-13,14098.0
2021-03-20,14580.0
2021-03-27,15359.0
2021-04-03,15994.0
2021-04-10,18148.0
2021-04-17,19177.0
2021-04-24,19313.0
2021-05-01,20134.0
2021-05-08,19937.0
2021-05-15,20373.0
2021-05-22,21266.0
2021-05-29,19685.0
2021-06-05,20152.0
2021-06-12,19188.0
2021-06-19,19672.0
2021-06-26,19896.0
2021-07-03,20103.0
2021-07-10,22376.0
2021-07-17,25263.0
2021-07-24,30554.0
2021-07-31,35221.0
2021-08-07,37762.0
2021-08-14,40069.0
2021-08-21,42753.0
2021-08-28,43062.0
2021-09-04,40878.0
2021-09-11,39438.0
2021-09-18,36222.0
2021-09-25,34019.0
2021-10-02,30002.0
2021-10-09,39606.0
2021-10-16,37639.0
2021-10-23,35684.0
2021-10-30,36616.0
2021-11-06,39986.0
2021-11-13,44242.0
2021-11-20,47047.0
2021-11-27,43297.0
2021-12-04,52671.0
2021-12-11,55027.0
2021-12-18,62539.0
2021-12-25,79184.0
2022-01-01,113921.0
2022-01-08,93323.0
2022-01-15,69158.0
2022-01-22,48685.0
2022-01-29,34720.0
2022-02-05,25809.0
2022-02-12,23719.0
2022-02-19,23930.0
2022-02-26,23620.0
2022-03-05,25789.0
2022-03-12,28073.0
2022-03-19,31342.0
2022-03-26,32433.0
2022-04-02,34811.0
2022-04-09,38128.0
