file,bytes,pages,sha256,valid,error
barbon_et_al_2017_brokers_order_flow_leakage.pdf,1758472,60,c8df4c3d4c0c3af010a29a9974a4738e24e1a53ef47091730e28f376152834e4,true,
bian_he_shue_zhou_2018_leverage_induced_fire_sales.pdf,1508130,72,10ff901ed8ba6d5491717bdce757f4de6012cd4b605a61d0e8dd99eb18f94f41,true,
bis_2024_anatomy_vix_spike_august.pdf,753069,8,b77e95bebe750ae154c987ed0d5ee6229619f049d96c1a163268d061acaae2d7,true,
bis_2024_market_turbulence_carry_trade_unwind.pdf,1432262,8,fef57fd5a9d7e50fa358a3ae35757b1fdee6be49a20a4b2371adf86bc2fac5aa,true,
boj_2024_financial_stability_report_october_summary.pdf,518349,35,329e5ac8f59c31dc18eb3e82822e209838db412dfafdb15e2155452d63eed2f0,true,
brunnermeier_pedersen_2004_predatory_trading.pdf,365538,51,2a601600b2c9148ac7e0962d3b4552b402b84bd166be3a330a02911bdd125286,true,
brunnermeier_pedersen_2007_market_funding_liquidity.pdf,659824,48,d29c04f65114e0db651f239b502a8f0cf847be174d07c887a0764bad10af140b,true,
chen_hanson_hong_stein_2008_hedge_funds_mutual_fund_distress.pdf,173215,49,dec700bb99795957ba9fd06c04433543206ad9a1394e4d20c7910db5a518ceb3,true,
chernenko_sunderam_2018_fire_sale_externalities.pdf,863299,61,cc840cd11510681851189fc8867173c9c55b192966d23ef6b32656b4979c3653,true,
coval_stafford_2005_asset_fire_sales.pdf,443077,43,a822a9efe0c4c346aa8d0b554adcc797e814423688857b3f418e63bd1400de98,true,
federal_reserve_2024_financial_stability_report_november.pdf,4997421,69,1cbe90304b0ab35a9fedee57146d734b3cb88304959f31b4ec9e3c5e69c3003c,true,
harvey_et_al_2018_impact_of_volatility_targeting.pdf,4596006,21,16052c1dd027f5ace609d0c940a2867a615beef0f3c10c3c7bc19ca74aa390d0,true,
ivanov_lenkey_2014_leveraged_etf_concerns_overblown.pdf,1554476,37,b0e299a7b2179ddcecf313eed325d4f5f999792c58d885937d82f8cf95af9589,true,
khandani_lo_2008_quant_meltdown.pdf,727901,61,b19ee3fdf214ef228bda972e14ec3c092ab95ba30921a3f57e7adfa2d3d3f023,true,
moreira_muir_2016_volatility_managed_portfolios.pdf,1013730,57,be1ea92102e1394e9ddec9545489902f45e5a07b42bd4c42faf8ee372e99fa7a,true,
tuzun_2013_leveraged_inverse_etfs_portfolio_insurers.pdf,1346009,43,a2319f851f371215a473d2007d2c7aa78909d64fb16f5e8ee5650baca0f2a32c,true,
