date,value
2011-01-01,0.3
2011-01-05,0.3
2011-01-09,0.32
2011-01-13,0.36
2011-01-17,0.4
2011-01-21,0.38
2011-01-25,0.44
2011-01-29,0.45
2011-02-02,0.92
2011-02-06,0.92
2011-02-10,0.97
2011-02-14,1.08
2011-02-18,1.05
2011-02-22,0.88
2011-02-26,1.0
2011-03-02,0.97
2011-03-06,0.92
2011-03-10,0.88
2011-03-14,0.91
2011-03-18,0.87
2011-03-22,0.79
2011-03-26,0.89
2011-03-30,0.8
2011-04-03,0.8
2011-04-07,0.75
2011-04-11,0.76
2011-04-15,0.98
2011-04-19,1.2
2011-04-23,1.38
2011-04-27,1.78
2011-05-01,4.14
2011-05-05,3.56
2011-05-09,3.91
2011-05-13,6.55
2011-05-17,8.47
2011-05-21,6.98
2011-05-25,7.27
2011-05-29,8.68
2011-06-02,9.67
2011-06-06,19.05
2011-06-10,32.34
2011-06-14,23.66
2011-06-18,18.87
2011-06-22,15.39
2011-06-26,17.58
2011-06-30,17.35
2011-07-04,15.74
2011-07-08,16.1
2011-07-12,15.07
2011-07-16,14.25
2011-07-20,14.54
2011-07-24,13.93
2011-07-28,14.1
2011-08-01,14.58
2011-08-05,11.5
2011-08-09,9.66
2011-08-13,9.93
2011-08-17,11.36
2011-08-21,11.75
2011-08-25,11.3
2011-08-29,9.48
2011-09-02,8.46
2011-09-06,8.27
2011-09-10,6.76
2011-09-14,6.19
2011-09-18,5.02
2011-09-22,6.18
2011-09-26,5.49
2011-09-30,4.94
2011-10-04,5.06
2011-10-08,4.79
2011-10-12,4.16
2011-10-16,4.01
2011-10-20,2.59
2011-10-24,3.32
2011-10-28,3.1
2011-11-01,3.38
2011-11-05,3.22
2011-11-09,3.19
2011-11-13,3.11
2011-11-17,2.6
2011-11-21,2.45
2011-11-25,2.48
2011-11-29,2.64
2011-12-03,3.14
2011-12-07,3.06
2011-12-11,3.12
2011-12-15,3.26
2011-12-19,3.36
2011-12-23,3.98
2011-12-27,4.25
2011-12-31,4.47
2012-01-04,5.37
2012-01-08,7.06
2012-01-12,7.1
2012-01-16,7.04
2012-01-20,6.37
2012-01-24,6.47
2012-01-28,5.7
2012-02-01,5.65
2012-02-05,5.99
2012-02-09,5.84
2012-02-13,5.82
2012-02-17,4.74
2012-02-21,4.5
2012-02-25,5.17
2012-02-29,4.98
2012-03-04,4.81
2012-03-08,5.05
2012-03-12,4.98
2012-03-16,5.44
2012-03-20,5.23
2012-03-24,4.81
2012-03-28,4.77
2012-04-01,4.94
2012-04-05,4.96
2012-04-09,4.8
2012-04-13,4.97
2012-04-17,4.99
2012-04-21,5.24
2012-04-25,5.19
2012-04-29,5.09
2012-05-03,5.18
2012-05-07,5.1
2012-05-11,5.1
2012-05-15,5.05
2012-05-19,5.13
2012-05-23,5.13
2012-05-27,5.15
2012-05-31,5.18
2012-06-04,5.27
2012-06-08,5.56
2012-06-12,5.58
2012-06-16,6.27
2012-06-20,6.56
2012-06-24,6.64
2012-06-28,6.58
2012-07-02,6.71
2012-07-06,6.76
2012-07-10,6.98
2012-07-14,7.85
2012-07-18,9.47
2012-07-22,9.53
2012-07-26,8.8
2012-07-30,8.95
2012-08-03,10.12
2012-08-07,11.23
2012-08-11,11.6
2012-08-15,12.3
2012-08-19,14.48
2012-08-23,10.26
2012-08-27,10.99
2012-08-31,10.91
2012-09-04,10.52
2012-09-08,11.27
2012-09-12,11.24
2012-09-16,11.84
2012-09-20,12.63
2012-09-24,12.28
2012-09-28,12.46
2012-10-02,12.58
2012-10-06,12.97
2012-10-10,12.3
2012-10-14,12.1
2012-10-18,11.98
2012-10-22,11.8
2012-10-26,11.56
2012-10-30,10.93
2012-11-03,11.06
2012-11-07,10.97
2012-11-11,10.95
2012-11-15,11.07
2012-11-19,11.82
2012-11-23,12.32
2012-11-27,12.62
2012-12-01,12.66
2012-12-05,13.09
2012-12-09,13.55
2012-12-13,13.8
2012-12-17,13.63
2012-12-21,13.7
2012-12-25,13.45
2012-12-29,13.65
2013-01-02,13.52
2013-01-06,13.54
2013-01-10,13.99
2013-01-14,14.31
2013-01-18,15.53
2013-01-22,17.13
2013-01-26,18.54
2013-01-30,19.78
2013-02-03,21.0
2013-02-07,21.53
2013-02-11,23.97
2013-02-15,27.2
2013-02-19,26.98
2013-02-23,30.52
2013-02-27,31.2
2013-03-03,34.25
2013-03-07,42.0
2013-03-11,45.6
2013-03-15,46.86
2013-03-19,52.12
2013-03-23,70.25
2013-03-27,78.79
2013-03-31,92.5
2013-04-04,131.0
2013-04-08,163.3
2013-04-12,124.9
2013-04-16,68.1
2013-04-20,118.92
2013-04-24,142.5
2013-04-28,128.5
2013-05-02,117.0
2013-05-06,115.98
2013-05-10,112.69
2013-05-14,117.99
2013-05-18,123.32
2013-05-22,122.7
2013-05-26,131.99
2013-05-30,132.3
2013-06-03,122.42
2013-06-07,118.97
2013-06-11,106.1
2013-06-15,99.98
2013-06-19,107.39
2013-06-23,108.35
2013-06-27,104.0
2013-07-01,97.25
2013-07-05,80.04
2013-07-09,76.49
2013-07-13,93.99
2013-07-17,97.05
2013-07-21,89.39
2013-07-25,94.51
2013-07-29,98.7
2013-08-02,104.62
2013-08-06,106.72
2013-08-10,102.8
2013-08-14,109.35
2013-08-18,99.71
2013-08-22,110.43
2013-08-26,113.28
2013-08-30,118.5
2013-09-03,130.09
2013-09-07,117.61
2013-09-11,122.02
2013-09-15,124.05
2013-09-19,127.12
2013-09-23,122.93
2013-09-27,124.65
2013-10-01,126.25
2013-10-05,121.94
2013-10-09,124.12
2013-10-13,127.59
2013-10-17,138.19
2013-10-21,186.12
2013-10-25,195.33
2013-10-29,206.9
2013-11-02,203.0
2013-11-06,252.59
2013-11-10,330.0
2013-11-14,393.0
2013-11-18,475.0
2013-11-22,716.77
2013-11-26,814.56
2013-11-30,1133.95
2013-12-04,1050.21
2013-12-08,705.91
2013-12-12,876.88
2013-12-16,862.98
2013-12-20,685.3
2013-12-24,659.99
2013-12-28,723.98
2014-01-01,732.0
2014-01-05,828.74
2014-01-09,823.3
2014-01-13,844.04
2014-01-17,817.15
2014-01-21,827.81
2014-01-25,780.02
2014-01-29,785.6
2014-02-02,817.08
2014-02-06,781.0
2014-02-10,687.37
2014-02-14,610.0
2014-02-18,629.96
2014-02-22,579.5
2014-02-26,559.52
2014-03-02,567.48
2014-03-06,670.7
2014-03-10,639.9
2014-03-14,641.01
2014-03-18,624.71
2014-03-22,572.89
2014-03-26,585.79
2014-03-30,490.0
2014-04-03,439.12
2014-04-07,458.0
2014-04-11,369.0
2014-04-15,459.64
2014-04-19,482.11
2014-04-23,488.52
2014-04-27,461.48
2014-05-01,452.03
2014-05-05,436.75
2014-05-09,437.61
2014-05-13,442.45
2014-05-17,449.12
2014-05-21,488.12
2014-05-25,527.91
2014-05-29,581.0
2014-06-02,630.71
2014-06-06,661.48
2014-06-10,648.81
2014-06-14,591.55
2014-06-18,608.0
2014-06-22,590.96
2014-06-26,560.76
2014-06-30,599.99
2014-07-04,645.35
2014-07-08,624.35
2014-07-12,634.0
2014-07-16,624.07
2014-07-20,630.0
2014-07-24,620.43
2014-07-28,593.68
2014-08-01,582.04
2014-08-05,588.5
2014-08-09,588.98
2014-08-13,569.01
2014-08-17,523.88
2014-08-21,518.82
2014-08-25,508.03
2014-08-29,506.61
2014-09-02,476.36
2014-09-06,485.91
2014-09-10,473.35
2014-09-14,476.92
