2026-07-29T16:47:12.123940 Starting download for USO
2026-07-29T16:47:17.206792 OK 1,336,416 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20240808_rpt20240630_acc0001410578_24_001237.htm
2026-07-29T16:47:17.652969 OK 1,246,398 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20240509_rpt20240331_acc0001410578_24_000684.htm
2026-07-29T16:47:18.070684 OK 1,214,471 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20231107_rpt20230930_acc0001410578_23_002210.htm
2026-07-29T16:47:18.460501 OK 1,286,723 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20230804_rpt20230630_acc0001410578_23_001538.htm
2026-07-29T16:47:18.982250 OK 1,151,074 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20230508_rpt20230331_acc0001410578_23_000917.htm
2026-07-29T16:47:19.512202 OK 1,353,235 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20221107_rpt20220930_acc0001410578_22_003004.htm
2026-07-29T16:47:19.909302 OK 1,356,033 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20220805_rpt20220630_acc0001410578_22_002075.htm
2026-07-29T16:47:20.314730 OK 1,185,216 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20220506_rpt20220331_acc0001410578_22_001158.htm
2026-07-29T16:47:20.752945 OK 1,215,042 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\10-Q_20211105_rpt20210930_acc0001104659_21_134823.htm
2026-07-29T16:47:21.188462 OK 837,547 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\S-3_20230613_rpt_acc0001171200_23_000315.htm
2026-07-29T16:47:21.570650 OK 685,346 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\S-3_20200420_rpt_acc0001171200_20_000251.htm
2026-07-29T16:47:21.944842 OK 736,098 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\S-3_20200319_rpt_acc0001171200_20_000141.htm
2026-07-29T16:47:22.210748 OK 26,076 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260729_rpt20260729_acc0001104659_26_087855.htm
2026-07-29T16:47:22.486632 OK 26,178 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260629_rpt20260629_acc0001104659_26_078516.htm
2026-07-29T16:47:22.842272 OK 26,289 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260528_rpt20260528_acc0001104659_26_067258.htm
2026-07-29T16:47:23.158959 OK 26,296 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260429_rpt20260429_acc0001104659_26_050930.htm
2026-07-29T16:47:23.472090 OK 29,334 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260327_rpt20260327_acc0002071876_26_000071.htm
2026-07-29T16:47:23.746004 OK 26,224 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260327_rpt20260327_acc0001104659_26_035702.htm
2026-07-29T16:47:24.077028 OK 26,824 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260320_rpt20260320_acc0001104659_26_032666.htm
2026-07-29T16:47:24.377161 OK 26,021 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260227_rpt20260227_acc0001104659_26_021015.htm
2026-07-29T16:47:24.635671 OK 26,062 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20260129_rpt20260129_acc0001104659_26_007751.htm
2026-07-29T16:47:24.917441 OK 26,062 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20251229_rpt20251226_acc0001104659_25_124469.htm
2026-07-29T16:47:25.225244 OK 26,319 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20251201_rpt20251128_acc0001104659_25_117079.htm
2026-07-29T16:47:25.489141 OK 26,224 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20251028_rpt20251028_acc0001104659_25_102913.htm
2026-07-29T16:47:25.869776 OK 26,268 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250929_rpt20250929_acc0001104659_25_094150.htm
2026-07-29T16:47:26.147027 OK 26,235 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250828_rpt20250828_acc0001104659_25_084661.htm
2026-07-29T16:47:26.418773 OK 26,127 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250729_rpt20250729_acc0001104659_25_071486.htm
2026-07-29T16:47:26.673283 OK 26,176 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250627_rpt20250627_acc0001104659_25_063400.htm
2026-07-29T16:47:26.969148 OK 25,731 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250528_rpt20250528_acc0001104659_25_053366.htm
2026-07-29T16:47:27.200055 OK 26,641 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250519_rpt20250519_acc0001171200_25_000243.htm
2026-07-29T16:47:27.560609 OK 26,384 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250428_rpt20250428_acc0001104659_25_039889.htm
2026-07-29T16:47:27.859729 OK 26,589 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250331_rpt20250331_acc0001104659_25_029743.htm
2026-07-29T16:47:28.246596 OK 29,347 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250326_rpt20250326_acc0001171200_25_000128.htm
2026-07-29T16:47:28.562002 OK 28,056 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250324_rpt20250324_acc0001171200_25_000105.htm
2026-07-29T16:47:28.869717 OK 26,407 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250228_rpt20250228_acc0001104659_25_018795.htm
2026-07-29T16:47:29.175432 OK 25,772 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20250129_rpt20250129_acc0001104659_25_007031.htm
2026-07-29T16:47:29.467019 OK 25,866 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\USO\investor-documents\sec-edgar\8-K_20241227_rpt20241227_acc0001104659_24_131983.htm
2026-07-29T16:47:29.467019 SEC filings downloaded: 47
2026-07-29T16:47:29.467019 IR PDF URLs found: 0
2026-07-29T16:47:29.474712 Done USO. SEC=47 IR=0/0
