2026-07-29T16:34:48.626637 Starting download for GLD
2026-07-29T16:35:00.222843 OK 28,716 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20230103_rpt20230101_acc0001437749_23_000186.htm
2026-07-29T16:35:00.530394 OK 31,165 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20221130_rpt20221130_acc0001193125_22_295367.htm
2026-07-29T16:35:00.738703 OK 24,795 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20221013_rpt20221013_acc0001193125_22_262139.htm
2026-07-29T16:35:01.104368 OK 27,941 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20220516_rpt20220516_acc0001193125_22_151503.htm
2026-07-29T16:35:01.372025 OK 26,115 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20220414_rpt20220412_acc0001193125_22_105564.htm
2026-07-29T16:35:01.588916 OK 25,402 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20220211_rpt20220211_acc0001193125_22_037402.htm
2026-07-29T16:35:01.830383 OK 25,145 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20201002_rpt20200929_acc0001193125_20_262569.htm
2026-07-29T16:35:02.072781 OK 17,244 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20190227_rpt20190225_acc0001193125_19_054273.htm
2026-07-29T16:35:02.369027 OK 16,999 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\GLD\investor-documents\sec-edgar\8-K_20180305_rpt20180228_acc0001193125_18_070536.htm
2026-07-29T16:35:02.369027 SEC filings downloaded: 39
2026-07-29T16:35:02.369027 IR PDF URLs found: 0
2026-07-29T16:35:02.369027 Done GLD. SEC=39 IR=0/0
