fold,train_to,test_from,test_to,n_train,n_test,ic_prod_linear,ic_refit,ic_full_tr_est,w_tr_z,w_eff_z,w_cons_z,w_r2_z,w_persistence_z,w_jump_penalty
1,2022-09-28,2022-09-29,2023-11-29,41719,46882,-0.01345502744328924,0.030514564624490304,-0.0154660496307703,0.004907162592421772,0.03376383847792214,-0.03926302088443955,0.004751655681963347,-0.00037448049489995083,-0.017098722498865765
2,2023-11-29,2023-11-30,2025-01-28,88601,48119,-0.02476475355954119,0.01218967249651534,-0.025028705660494963,0.0036470182975796316,0.03972332628379038,-0.04276599741566293,-0.0014426451495766976,-0.0060346298782573,-0.027096059812639805
3,2025-01-28,2025-01-29,2026-03-31,136720,48348,-0.05156294568365007,-0.0012922076082583175,-0.04887857991549026,0.0036076574842408525,0.019121443156565665,-0.03734596395361103,-0.0009463139141679539,-0.005356134285222233,-0.012565438557423772
