w20,pooled_ic,xs_ic_mean,xs_ic_tstat,ts_ic_mean,ts_ic_tstat
0.0,-0.007439996870304862,-0.002793096357859615,-0.8715566980059304,-0.06333452792622253,-6.327050878469282
0.1,-0.0096458448961704,-0.004434310009855958,-1.373725793771603,-0.06600761888414654,-6.65622002377068
0.2,-0.011516068418081192,-0.005909317723931741,-1.8216784870527367,-0.06759031031698828,-6.95336720010374
0.3,-0.013028912237772697,-0.00727740316520441,-2.2384891371346334,-0.06738935121073954,-7.19154630214283
0.4,-0.014216900826736534,-0.00824825415664845,-2.5301365496636765,-0.06628461910776313,-7.393692213688592
0.5,-0.015180287482590666,-0.008994143012819186,-2.7651939192766797,-0.06441592977696467,-7.527233965780472
0.6,-0.015974749338293674,-0.009642010211871667,-2.9707653014614226,-0.06218771920238338,-7.612435254350895
0.7,-0.016614232469479316,-0.01004002204967611,-3.1058745396534935,-0.060059793806900984,-7.673846281702004
0.8,-0.017129242293874858,-0.010550118776154182,-3.2834607210553037,-0.058043005713662235,-7.7056847498184275
0.9,-0.01753381812660943,-0.010850129633121772,-3.3860136371499805,-0.05610951315781907,-7.692007198279086
1.0,-0.017851263536415387,-0.01102808529245034,-3.4585028569948633,-0.05428935668346183,-7.642006678838742
