component,prod_weight,refit_weight_raw,refit_weight_norm
tr_z,0.4,0.0004829436084761671,0.013410362459912119
eff_z,0.22,0.00796306256910384,0.22111806320325572
cons_z,0.2,-0.03447544312605334,-0.9573129868003557
r2_z,0.2,0.0005653484765951238,0.015698578165723665
persistence_z,0.22,-0.004830760428938687,-0.1341403989452845
jump_penalty,-0.35,0.008942664232436975,0.24831961042546818
