w20,pooled_ic,xs_ic_mean,xs_ic_tstat,ts_ic_mean,ts_ic_tstat
0.0,-0.015063175794373058,-0.015739884730621795,-4.512157294027148,-0.06021589794213454,-6.247446165171299
0.1,-0.01665636381443905,-0.016986077690299313,-4.89385961792213,-0.06344767440137083,-6.599163759895422
0.2,-0.018258917927501655,-0.01779037862829997,-5.141351316837955,-0.06648375006013449,-6.993500399098954
0.3,-0.019741848781113833,-0.018256562468454366,-5.327598517023716,-0.06796339180034351,-7.3436289463769215
0.4,-0.02090918952272113,-0.018654300333931964,-5.525541700684714,-0.06812906311173256,-7.637002671680464
0.5,-0.021572872506965383,-0.018564277085071194,-5.58958886984289,-0.06656912160251743,-7.800870495334678
0.6,-0.02168483684044017,-0.018098348134139262,-5.568045144871282,-0.06364203909011376,-7.845680181568599
0.7,-0.021360083788350172,-0.0173510612448914,-5.43899413084633,-0.059341568639438555,-7.769809509100852
0.8,-0.0207703623675462,-0.016462925393152333,-5.263584425122225,-0.05465872675477243,-7.613709351821479
0.9,-0.02004502141170602,-0.015309016042183701,-4.972151738150517,-0.049782562053881534,-7.361451652781437
1.0,-0.019202359964885576,-0.014358367116842196,-4.705055267434795,-0.04488093760840524,-6.978650030531724
