signal,pooled_ic,pooled_n,xs_ic_mean,xs_ic_tstat,xs_dates,ts_ic_mean,ts_ic_tstat,ts_names
tr_raw60,0.007897990744957034,214599,0.0015980757334309846,0.46448128961955243,4751,0.010207279522052855,0.680768028123322,166
tr_est60,-0.016390219916218588,214599,0.0001681620246929753,0.0503293255657789,4751,-0.006637419555025791,-0.35406341798842117,166
