insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Pope Lawrence J,EVP and Chief Admin Officer,2026-01-05,2026-01-06,100000,32.25,3225000.0,D,S,419799,True,False,True,0001350647-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000135064726000002/0001350647-26-000002.txt
Yassine Rami,President - Eastern Hemisphere,2026-01-02,2026-01-05,41156,29.6,1218217.6,A,A,67439,False,False,True,0002102911-26-000004,https://www.sec.gov/Archives/edgar/data/45012/000210291126000004/0002102911-26-000004.txt
Yassine Rami,President - Eastern Hemisphere,2026-01-02,2026-01-05,3552,29.6,105139.2,A,M,70991,False,False,True,0002102911-26-000004,https://www.sec.gov/Archives/edgar/data/45012/000210291126000004/0002102911-26-000004.txt
Slocum Jeffrey Shannon,"Directir, EVP and COO",2026-01-02,2026-01-05,56178,29.6,1662868.8,A,A,219229,False,True,True,0001970357-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000197035726000002/0001970357-26-000002.txt
Sharp Jill D.,SVP Internal Assurance Svcs.,2026-01-02,2026-01-05,5610,29.6,166056.0,A,A,51738,False,False,True,0001901659-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000190165926000002/0001901659-26-000002.txt
Richard Mark,President - Western Hemisphere,2026-01-02,2026-01-05,41156,29.6,1218217.6,A,A,488160,False,False,True,0001767591-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000176759126000002/0001767591-26-000002.txt
Pope Lawrence J,EVP and Chief Admin Officer,2026-01-02,2026-01-06,34968,29.6,1035052.8,A,A,519799,True,False,True,0001350647-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000135064726000002/0001350647-26-000002.txt
Miller Jeffrey Allen,"Director, President & CEO",2026-01-02,2026-01-05,133458,29.6,3950356.8,A,A,1131090,False,True,True,0001558667-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000155866726000002/0001558667-26-000002.txt
McKeon Timothy,Senior VP and Treasurer,2026-01-02,2026-01-05,5610,29.6,166056.0,A,A,82736,False,False,True,0001595098-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000159509826000002/0001595098-26-000002.txt
Holzhauser Stephanie Spoelker,SVP & Chief Accounting Officer,2026-01-02,2026-01-05,5610,29.6,166056.0,A,A,73310,False,False,True,0002081131-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000208113126000002/0002081131-26-000002.txt
Carre Eric,EVP & Chief Financial Officer,2026-01-02,2026-01-05,37548,29.6,1111420.8,A,A,159719,False,False,True,0001673421-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000167342126000002/0001673421-26-000002.txt
Beckwith Van H.,"EVP, Secretary and CLO",2026-01-02,2026-01-05,34968,29.6,1035052.8,A,A,368496,False,False,True,0001832674-26-000003,https://www.sec.gov/Archives/edgar/data/45012/000183267426000003/0001832674-26-000003.txt
Young Tobi M.,,2025-12-05,2025-12-09,6092,0.0,0.0,A,M,21375,False,True,False,0001914276-25-000003,https://www.sec.gov/Archives/edgar/data/45012/000191427625000003/0001914276-25-000003.txt
Malone Robert A,,2025-12-05,2025-12-09,6092,0.0,0.0,A,M,87496,False,True,False,0001464471-25-000008,https://www.sec.gov/Archives/edgar/data/45012/000146447125000008/0001464471-25-000008.txt
