insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Begor Mark W,CEO,2026-02-10,2026-02-12,331,194.221,64287.15,D,S,269084,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,364,195.3979,71124.84,D,S,268720,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,445,196.428,87410.46,D,S,268275,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,829,199.001,164971.83,D,S,267446,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,1759,202.71,356566.89,D,F,265687,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,1772,200.0293,354451.92,D,S,263915,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,4057,201.2626,816522.37,D,S,259858,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,11000,203.0792,2233871.2,D,S,248858,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-10,2026-02-12,18352,202.1545,3709939.38,D,S,230506,True,True,True,0001225208-26-001770,https://www.sec.gov/Archives/edgar/data/33185/000122520826001770/0001225208-26-001770.txt
Begor Mark W,CEO,2026-02-03,2026-02-05,59123,0.0,0.0,A,A,201392,False,True,True,0001225208-26-001347,https://www.sec.gov/Archives/edgar/data/33185/000122520826001347/0001225208-26-001347.txt
