as_of,ticker,price_index,price_as_of,operating_metric,metric_name,lawrence_base_irr_pct,source
2026-08-05,TPL,2110.68,2026-08-01,307.5,water_revenue_m,-8.0,returns_vault+filing_panels
2026-08-05,LB,318.27,2026-08-01,,,-1.8,returns_vault+filing_panels
2026-08-05,TRC,72.81,2026-08-01,,,5.8,returns_vault+filing_panels
2026-08-05,BWEL,85.78,2026-08-01,,,-1.5,returns_vault+filing_panels
2026-08-05,AZLCZ,1384.18,2026-08-01,1.3,renewable_revenue_m,-9.1,returns_vault+filing_panels
